"H01C","Hypothalamushormone",""
"H02","Corticosteroide zur systemischen Anwendung",""
"H02A","Corticosteroide zur systemischen Anwendung, rein",""
"H02B","Corticosteroide zur systemischen Anwendung, Kombinationen",""
"H02C","Nebennierenhemmstoffe",""
"H03","Schilddrüsentherapie",""
"H03A","Schilddrüsenpräparate",""
"H03B","Thyreostatika",""
"H03C","Iodtherapie",""
"H04","Pankreashormone",""
"H04A","Glykogenolytische Hormone",""
"H05","Calciumhomöostase",""
"H05A","Nebenschilddrüsenhormone und Analoga",""
"H05B","Nebenschilddrüsen-antagonisten",""
"J","Antiinfektiva zur systemischen Anwendung",""
"J01","Antibiotika zur systemischen Anwendung",""
"J01A","Tetracycline",""
"J01B","Amphenicole",""
"J01C","Betalactam-antibiotika, Penicilline",""
"J01D","Andere Beta-lactam-antibiotika",""
"J01E","Sulfonamide und Trimethoprim",""
"J01F","Makrolide, Lincosamide und Streptogramine",""
"J01G","Aminoglykosid-antibiotika",""
"J01M","Chinolone",""
"J01R","Kombinationen von Antibiotika",""
"J01X","Andere Antibiotika",""
"J02","Antimykotika zur systemischen Anwendung",""
"J02A","Antimykotika zur systemischen Anwendung",""
"J04","Mittel gegen Mykobakterien",""
"J04A","Mittel zur Behandlung der Tuberkulose",""
"J04B","Mittel zur Behandlung der Lepra",""
"J05","Antivirale Mittel zur systemischen Anwendung",""
"J05A","Direkt wirkende antivirale Mittel",""
"J06","Immunsera und Immunglobuline",""
"J06A","Immunsera",""
"J06B","Immunglobuline",""
"J07","Impfstoffe",""
"J07A","Bakterielle Impfstoffe",""
"J07B","Virale Impfstoffe",""
"J07C","Bakterielle und virale Impfstoffe, kombiniert",""
"J07X","Andere Impfstoffe",""
"L","Antineoplastische und immunmodulierende Mittel",""
"L01","Antineoplastische Mittel",""
"L01A","Alkylierende Mittel",""
"L01B","Antimetaboliten",""
"L01C","Pflanzliche Alkaloide und andere natürliche Mittel",""
"L01D","Zytotoxische Antibiotika und verwandte Substanzen",""
"L01X","Andere antineoplastische Mittel",""
"L02","Endokrine Therapie",""
"L02A","Hormone und verwandte Mittel",""
"L02B","Hormonantagonisten und verwandte Mittel",""
"L03","Immunstimulanzien",""
"L03A","Immunstimulanzien",""
"L04","Immunsuppressiva",""
"L04A","Immunsuppressiva",""
"M","Muskel- und Skelettsystem",""
"M01","Antiphlogistika und Antirheumatika",""
"M01A","Nichtsteroidale Antiphlogistika und Antirheumatika",""
"M01B","Antiphlogistika/antirheumatika in Kombination",""
"M01C","Spezifische Antirheumatika",""
"M02","Topische Mittel gegen Gelenk- und Muskelschmerzen",""
"M02A","Topische Mittel gegen Gelenk- und Muskelschmerzen",""
"M02B","Balneotherapeutische Antirheumatika",""
"M03","Muskelrelaxanzien",""
"M03A","Muskelrelaxanzien, peripher wirkende Mittel",""
"M03B","Muskelrelaxanzien, zentral wirkende Mittel",""
"M03C","Muskelrelaxanzien, direkt wirkende Mittel",""
"M04","Gichtmittel",""
"M04A","Gichtmittel",""
"M05","Mittel zur Behandlung von Knochenerkrankungen",""
"M05B","Mittel mit Einfluss auf die Knochenstruktur und die Mineralisation",""
"M09","Andere Mittel gegen Störungen des Muskel- und Skelettsystems",""
"M09A","Andere Mittel gegen Störungen des Muskel- und Skelettsystems",""
"N","Nervensystem",""
"N01","Anästhetika",""
"N01A","Allgemeinanästhetika",""
"N01B","Lokalanästhetika",""
"N02","Analgetika",""
"N02A","Opioide",""
"N02B","Andere Analgetika und Antipyretika",""
"N02C","Migränemittel",""
"N03","Antiepileptika",""
"N03A","Antiepileptika",""
"N04","Antiparkinsonmittel",""
"N04A","Anticholinergika",""
"N04B","Dopaminerge Mittel",""
"N05","Psycholeptika",""
"N05A","Antipsychotika",""
"N05B","Anxiolytika",""
"N05C","Hypnotika und Sedativa",""
"N05H","Homöopathische und anthroposophische Psycholeptika",""
"N06","Psychoanaleptika",""
"N06A","Antidepressiva",""
"N06B","Psychostimulanzien, Mittel für die ADHD und Nootropika",""
"N06C","Psycholeptika und Psychoanaleptika in Kombination",""
"N06D","Antidementiva",""
"N07","Andere Mittel für das Nervensystem",""
"N07A","Parasympathomimetika",""
"N07B","Mittel zur Behandlung von Suchterkrankungen",""
"N07C","Antivertiginosa",""
"N07X","Andere Mittel für das Nervensystem",""
"P","Antiparasitäre Mittel, Insektizide und Repellenzien",""
"P01","Mittel gegen Protozoen-erkrankungen",""
"P01A","Mittel gegen Amöbiasis und andere Protozoen-erkrankungen",""
"P01B","Malariamittel",""
"P01C","Mittel gegen Leishmaniasis und Trypanosomiasis",""
"P02","Anthelmintika",""
"P02B","Trematodenmittel",""
"P02C","Nematodenmittel",""
"P02D","Bandwurmmittel",""
"P03","Mittel gegen Ektoparasiten, inkl. Antiscabiosa, Insektizide und Repellenzien",""
"P03A","Mittel gegen Ektoparasiten, inkl. Antiscabiosa",""
"P03B","Insektizide und Repellenzien",""
"R","Respirationstrakt",""
"R01","Rhinologika",""
"R01A","Dekongestiva und andere Rhinologika zur topischen Anwendung",""
"R01B","Nasale Dekongestiva zur systemischen Anwendung",""
"R02","Hals- und Rachentherapeutika",""
"R02A","Hals- und Rachentherapeutika",""
"R03","Mittel bei obstruktiven Atemwegserkrankungen",""
"R03A","Inhalative Sympathomimetika",""
"R03B","Andere inhalative Mittel bei obstruktiven Atemwegserkrankungen",""
"R03C","Sympathomimetika zur systemischen Anwendung",""
"R03D","Andere Mittel bei obstruktiven Atemwegserkrankungen zur systemischen Anwendung",""
"R04","Brusteinreibungen und andere Inhalate",""
"R04A","Brusteinreibungen und andere Inhalate",""
"R05","Husten- und Erkältungsmittel",""
"R05C","Expektoranzien, exkl. Kombinationen mit Antitussiva",""
"R05D","Antitussiva, exkl. Kombinationen mit Expektoranzien",""
"R05F","Antitussiva und Expektoranzien, Kombinationen",""
"R05G","Antitussiva und Expektoranzien, Kombinationen mit Antibiotika",""
"R05X","Andere Zubereitungen gegen Erkältungskrankheiten",""
"R06","Antihistaminika zur systemischen Anwendung",""
"R06A","Antihistaminika zur systemischen Anwendung",""
"R07","Andere Mittel für den Respirationstrakt",""
"R07A","Andere Mittel für den Respirationstrakt",""
"S","Sinnesorgane",""
"S01","Ophthalmika*",""
"S01A","Antiinfektiva",""
"S01B","Antiphlogistika",""
"S01C","Antiphlogistika und Antiinfektiva in Kombination",""
"S01E","Glaukommittel und Miotika",""
"S01F","Mydriatika und Zykloplegika",""
"S01G","Dekongestiva und Antiallergika",""
"S01H","Lokalanästhetika",""
"S01J","Diagnostika",""
"S01K","Chirurgische Hilfsmittel",""
"S01L","Mittel gegen vaskuläre Augenerkrankungen",""
"S01X","Andere Ophthalmika",""
"S02","Otologika",""
"S02A","Antiinfektiva",""
"S02B","Corticosteroide",""
"S02C","Corticosteroide und Antiinfektiva in Kombination",""
"S02D","Andere Otologika",""
"S03","Ophthalmologische und Otologische Zubereitungen",""
"S03A","Antiinfektiva",""
"S03B","Corticosteroide",""
"S03C","Corticosteroide und Antiinfektiva in Kombination",""
"S03D","Andere Ophthalmologische und Otologische Zubereitungen",""
"V","Varia",""
"V01","Allergene",""
"V01A","Allergene",""
"V03","Alle übrigen therapeutischen Mittel",""
"V03A","Alle übrigen therapeutischen Mittel",""
"V04","Diagnostika",""
"V04B","Urin-tests",""
"V04C","Andere Diagnostika",""
"V06","Allgemeine Diätetika",""
"V06A","Diätetika zur Behandlung der Adipositas",""
"V06B","Proteinzusatznahrung",""
"V06C","Säuglingsnahrung",""
"V06D","Andere Diätetika",""
"V07","Alle übrigen nichttherapeutischen Mittel",""
"V07A","Alle übrigen nichttherapeutischen Mittel",""
"V08","Kontrastmittel",""
"V08A","Röntgenkontrastmittel, Iod-haltig",""
"V08B","Röntgenkontrastmittel, Nicht Iod-haltig",""
"V08C","Kontrastmittel für die Magnetresonanztomographie",""
"V08D","Ultraschall-kontrastmittel",""
"V08E","Fluoreszenz-kontrastmittel",""
"V09","Radiodiagnostika",""
"V09A","Zentrales Nervensystem",""
"V09B","Skelett",""
"V09C","Nierensystem",""
"V09D","Leber- und Retikuloendothelialsystem",""
"V09E","Respirationstrakt",""
"V09F","Schilddrüse",""
"V09G","Kardiovaskuläres System",""
"V09H","Entzündungs- und Infektionserkennung",""
"V09I","Tumorerkennung",""
"V09X","Andere Radiodiagnostika",""
"V10","Radiotherapeutika",""
"V10A","Entzündungshemmende Mittel",""
"V10B","Schmerzlinderung (knochenmetastasen)",""
"V10X","Andere Radiotherapeutika",""
"V20","Wundverbände",""
"V60","Homöopathika und Anthroposophika",""
"V60A","Homöopathika",""
"V60B","Anthroposophika",""
"V70","Rezepturen",""
"V70A","Rezepturen zur Behandlung von Suchterkrankungen",""
"V70B","Rezepturen zur antineoplastischen und immunmodulierenden Behandlung",""
"V70C","Individuell hergestellte parenterale Lösungen",""
"V70D","Abrechnung von Verordnungen",""
"V70X","Andere Rezepturen",""
"V90","Sondergruppen",""
"V90A","Einzeln importierte Am (§ 73 Absatz 3 Amg)",""
"V90B","Arzneimittel ohne Pharmazentralnummer",""
"V90C","Stückelung nach Ziffer 3, Technische Anlage Gem. § 300 Sgb V",""
"V90D","Arzneimitteldossier nach Hausapothekenvertrag",""
"V90E","Tierarzneimittel",""
"V90F","Btm-gebühr",""
"V90G","Noctu-gebühr",""
"V90H","Abrechnungsfähige Beschaffungskosten",""
"V90I","Nichtverfügbarkeit von Rabattbegünstigten oder von importierten Arzneimitteln",""
"V90K","Wiederabgabe von Arzneimitteln",""
"V90L","Auseinzelung",""
"V90M","Aus Fertigarzneimitteln Entnommene, Patientenindividuelle Teilmengen im Rahmen einer Dauermedikation (z.b. Blister)",""
"V90N","Abrechnung von L-Polamidon-Einzeldosen",""
"V90O","Abrechnung von Buprenorphin- oder Subutex-Einzeldosen",""
"V90P","Abrechnung von Suboxone-Einzeldosen",""
"V90Q","Abrechnung des Zuschlages bei Abgabe von Oseltamivir-Zubereitungen",""
"V90S","Regionale und Kassenspezifische Sonder-pzn",""
